,编号,测试人员,维修人员,日期,系统,BUG标签,问题描述,补充信息,优先级,备注,版本号,解决情况,,,,,
TRUE,,丹丽,,3月24日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：输入搜索关键字后，点击【未读】/【全部】，搜索过滤会失效
期望：显示搜索&【未读】 搜索&【全部】的组合过滤数据",,最重要,,Android 1.2.4,,,,,,
TRUE,,丹丽,,3月24日,Android,功能缺失,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：有追尾短信的情况下没有解析跳转链信息
期望：需要解析追尾短信中的跳转链，预置到消息详情的【确定】按钮中，点击【确定】前往。有调整链的情况下，消息主体内容尾部增加“点击确定前往”。
",,一般,,Android 1.2.4,,,,,,
TRUE,,丹丽,,3月24日,Android,兼容性问题,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：进入消息详情，点击【确定】崩溃
期望：修复崩溃问题",,最重要,,Android 1.2.4,,,,,,
TRUE,,丹丽,,3月24日,Android,界面优化,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：消息管理界面的消息title显示字不超过12个，超过用...代替",,一般,,Android 1.2.4,,,,,,
TRUE,,丹丽,莫南,3月24日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：消息管理的用户操作没有记录，卸载安装后，已读的信息又变成未读了",后端bug （莫南）,最重要,,Android 1.2.4,,,,,,
TRUE,,欧龙,,3月24日,Android,性能,"终端类型：redmi k20 pro
系统版本：android 10
问题：【认证管理】进入认证管理后，显示正在加载中，加载时间时长时短，有时候需要等30秒才能加载完成一个模块的页面；出现比较多的是SIM认证、SIMeid认证",,一般,,Android 1.2.4,,,,,,
TRUE,,少东,,3月25日,Android,功能缺失,按系统返回键无法退出应用，正常逻辑APP应该支持按系统返回键退出应用,,最重要,,Android 1.2.5,,,,,,
TRUE,,少东,,3月25日,Android,功能缺失,已更换支持SIMeID开通和使用的SIM卡，但点击SIMeID开通时提示您的卡不支持SIMeID开通，请升级,"设备为小米MAX 2
系统为Android7.1.1",最重要,,Android 1.2.5,,,,,,
TRUE,,少东,,3月26日,Android,逻辑错误,登录后在我的界面不显示用户手机号码，正常应显示隐藏了中间四位的用户手机号码,"设备为小米MAX 2
系统为Android7.1.1",最重要,,Android 1.2.5,需求事不隐藏的,,,,,
TRUE,,少东,,3月26日,Android,逻辑错误,在客户端用一个SIM卡登陆后更换另一张SIM卡，手机号码已经改变但使用一键登录时取号仍然是上一张SIM卡的手机号，逻辑错误，取号后仍然可以登录成功,"设备为小米MAX 2
系统为Android7.1.1",最重要,,Android 1.2.5,,,,,,
TRUE,,少东,,3月26日,Android,逻辑错误,首次下载打开APP后没有弹出登陆页面，正常应该弹出登陆页面,"设备为小米MAX 2
系统为Android7.1.1",最重要,,Android 1.2.6,,,,,,
TRUE,,丹丽,,3月27日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：消息管理界面的消息时间没有按定义开发显示
期望：当天的显示上午 xx:xx /下午  xx:xx，前一天显示昨天，2天以前的显示xxxx/xx/xx",,最重要,,Android 1.2.6,,,,,,
TRUE,,欧龙,,3月26日,Android,界面优化,"终端类型：redmi k20 pro
系统版本：android 10
问题：【口令管理】顶部口令管理字体样式调整",,一般,,Android 1.2.6,,,,,,
TRUE,,欧龙,,3月26日,Android,界面优化,"终端类型：redmi k20 pro
系统版本：android 10
问题：【口令管理】不记得流程，四要素摄像头自动改为前置相机；",,一般,,Android 1.2.8,,,,,,
TRUE,,欧龙,,3月26日,Android,界面优化,"终端类型：redmi k20 pro
系统版本：android 10
问题：四要素拍照，不用显示弹窗（用户可选拍照/本地相册的弹窗），直接调起拍照。",,一般,,Android 1.2.8,,,,,,
TRUE,,欧龙,嘉佳,3月26日,Android,界面优化,"终端类型：redmi k20 pro
系统版本：android 10
问题：四要素验证码，点击快捷填充后，输入框显示为黄色",,一般,,Android 1.2.8,机型问题,,,,,
TRUE,,欧龙,,3月26日,Android,界面优化,"终端类型：redmi k20 pro
系统版本：android 10
问题：四要素的下一步，当四要素填充完成后，按钮需要自动从置灰变为可点击；",,一般,,Android 1.2.8,,,,,,
TRUE,,丹丽,,3月27日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：设置-清除缓存没有显示缓存数据大小
期望：显示缓存数据大小，精确到小数点后一位，已M为单位",,一般,,Android 1.2.8,,,,,,
TRUE,,丹丽,,3月27日,Android,逻辑错误,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：设置-清除缓存功能异常，不能正常清除缓存，需要到手机系统的设置中做缓存清理
期望：缓存内容大小跟系统设置中对应APP的数据大小保持一致，可以正常清除",,一般,,Android 1.2.8,,,,,,
TRUE,,丹丽,,3月27日,Android,兼容性问题,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：设置-意见反馈，提交后再次输入，每输入一个字符就会自动收起键盘
，腾讯吐个槽的bug",腾讯吐个槽的bug,一般,,Android 1.2.8,吐个槽web bug,,,,,
TRUE,,丹丽,计成,3月27日,Android,界面优化,APP加载url能加增加进度条效果,,一般,,Android 1.2.8,,,,,,
TRUE,,欧龙,,3月26日,Android,界面优化,"终端类型：redmi k20 pro
系统版本：android 10
问题：活体检测失败后，显示校验失败的按钮，目前内容为“返回首页”；这个文案帮我改一下吧：“重新校验”",,一般,,Android 1.2.8,,,,,,
TRUE,,少东,创彬，计成,3月28日,Android,界面优化,APP logo已换，启动页和登录页也需要更换新的APP logo，需UI协助处理,请UI提供新的设计图切图,一般,,Android 1.2.9,,,,,,
TRUE,,少东,宇鹏,3月28日,Android,逻辑错误,在未登陆状态下，点击首页出示eID、消息管理、电话加V应该弹出登录页面，而不是直接进入功能页面，登录后才能进入功能页面,,最重要,,Android 1.2.9,,,,,,
TRUE,,少东,宇鹏,3月28日,Android,功能缺失,登录后点击首页电话加V应该弹出提示框，提示语为该功能正在开发中，敬请期待而不是进入测试界面,,最重要,,Android 1.2.9,,,,,,
TRUE,,少东,,3月28日,Android,界面优化,点击权益按钮进入权益领取界面后，页面最大化，需要缩小才能正常查看，页面应该控制为正常大小,是电渠提供的链接问题？ 是否为我侧可以解决的问题？,一般,,Android 1.2.9,,,,,,
TRUE,,少东,创彬,3月28日,Android,功能缺失,点击我-发现和我-恶意号码举报，无反馈，应提示功能正在开发中，敬请期待,,一般,,Android 1.2.9,,,,,,
TRUE,,少东,莫南,3月28日,Android,逻辑错误,在SIMeID中点击出示电子证照，提示网络异常，提示有误，此时设备网络正常，若没有开通SIMeID则应提示请先开通SIMeID ,是SIMeID SDK侧问题还是APP问题？,一般,,Android 1.2.9,这个是服务问题，要莫南看看，登录号码和手机卡不一致问题,,,,,
TRUE,,少东,,3月28日,Android,功能缺失,点击顶部轮播图，进入页面为空白，不显示任何内容,需正常显示配置页面,一般,,Android 1.2.9,,,,,,
TRUE,,少东,,3月28日,Android,界面优化,"点击首页顶部轮播图或权益位进入页面后页面顶部显示xxx.jpg,不合理，应配置正常页面标题，例如如果是权益领取页面，则标题应显示XXX权益领取页",,一般,,Android 1.2.9,,,,,,
TRUE,,少东,创彬,3月28日,Android,逻辑错误,登录时选择SIM快捷登录，进入SIM快捷登录页面，尚未输入手机号时，输入框下方就已经显示登录请求已通过SIM消息发送，提示错误，应该是输入手机号后点击登录按钮，出现该提示,,一般,,Android 1.2.9,1.3.1版本修复,,,,,
,,少东,晓程,3月28日,Android,功能缺失,无法使用SIM快捷登录,是否需要在正式环境才能使用？,最重要,正式环境才是使用，等待现网部署,Android 1.2.9,,,,,,
TRUE,,欧龙,,3月28日,Android,界面优化,"终端类型：redmi k20 pro
系统版本：android 10
问题：口令管理四要素页面优化，仅一个屏展示完所有信息和操作；目前底部留白太多",,一般,,Android 1.2.9,,,,,,
TRUE,,丹丽,创彬,3月29,Android,兼容性问题,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：清除缓存后，再次清除缓存/触发弹窗，会背景黑屏
期望：修复bug",,一般,,Android 1.2.9,,,,,,
TRUE,,丹丽,计成,3月29,Android,界面优化,"终端类型：坚果 Pro 2
系统版本：Android7.1.1
问题操作描述：用户首次使用消息管理会显示无消息状态一段时间，再刷出内容，体验效果不好
期望：首次安装，用户登录后触发预加载，当用户进入消息管理界面无内容是，加载内容显示loading效果",,一般,,Android 1.2.9,,,,,,
FALSE,,少东,,3月31日,Android,功能缺失,SIM快捷登录不可用，点击SIM快捷登录输入验证码后没有收到SIM消息,SIM快捷需要在3月31日中午配置现网回调地址,最重要,,Android 1.3.2,,,,,,
TRUE,,少东,已处理,3月31日,Android,逻辑错误,点击SIMeID开通和出示，界面出现黑色小黑块，没有给出正常提示或者进入开通和展示界面,,最重要,,Android 1.3.2,,,,,,
TRUE,,欧龙,,3月31日,Android,逻辑错误,"终端类型：redmi k20 pro
系统版本：android 10
问题：口令管理中SIM认证和SIM盾的查询接口错误；SIM盾和SIM认证查询反了；",后端bug,一般,,Android 1.2.8,,,,,,
TRUE,,欧龙,,5月19日,iOS,兼容性问题,【实名认证】活体检测的页面图显示有误；且活体检测后，闪退；重新点击实名认证显示没有认证通过；,,最重要,,iphone xsMax,,,,,,
TRUE,,欧龙,,5月19日,iOS,界面优化,【实名认证】三要素点击输入时，页面拉到底部，不美观；,,最重要,,iphone xs,rn机制问题，第一次弹出键盘会出现偏移情况,,,,,
