,编号,测试人员,维修人员,日期,系统,BUG标签,问题描述,补充信息,优先级,待修复,备注,版本号,解决情况,,,
FALSE,,清云,张勇,2020年5月20日,Android,逻辑错误,签署文件再次点击手写签名，没有替换已放置的图片,,一般,验证通过,已修改为必须先关掉原有印章，才能手写或打开新的印章,Android 2.2.2,"测试时间：2020.05.22 09:30
测试验证已修复",,,
FALSE,,清云,谭作伍,2020年5月21日,Android,逻辑错误,用户已开通SIM盾，签署文件，选择SIM盾认证方式，点击后没反应,,最重要,验证通过,,Android 2.2.2,"测试时间：2020.05.23 21:53
测试验证已修复",,,
FALSE,,清云,,2020年5月21日,Android,逻辑错误,部署文件，选择人脸识别认证方式，不是本人操作也可认证成功，识别过程中，没按照提示操作，自动识别完成,,最重要,待修复,CFCA人脸SDK：待回复,Android 2.2.2,,,,
FALSE,,清云,吴嘉佳,2020年5月21日,Android,逻辑错误,发起签署-添加个人，账号输入数字加文字，可添加成功,,一般,验证通过,,Android 2.2.2,"测试时间：2020.05.22 09:34
测试验证已修复",,,
TRUE,,少东,,2020年5月21日,Android,功能缺失,进入SIM签页面，弹出SIM盾申请弹出后点击申请，提示申请失败，多次点击重试均失败,,最重要,验证通过,是否和SIM卡状态有关？测试号码19802021300,Android 2.2.2,测试时间：2020.05.23 21:55,,,
FALSE,,少东,莫南,2020年5月21日,Android,逻辑错误,已经在SIM签平台PC端进行了实名认证。进入签章管理界面，显示的默认签章不正确，应该显示实名认证的姓名,,最重要,验证通过,"CFCA侧问题，我们系统不涉及自动生成签章
CFCA已修复，待验证",Android 2.2.2,"测试时间：2020.05.23 19:06
测试验证已修复",,,
FALSE,,清云,莫南,2020/5/21,Android,逻辑错误,企业账号-签章管理，没有系统默认生成的图片,,一般,验证通过,CFCA侧问题，我们系统不涉及自动生成签章,Android 2.2.2,,,,
FALSE,,广榕,姜爱俊,,iOS,兼容性问题,特殊印章，在Android端显示正常，IOS端显示不正常,,一般,待修复,这里是通过TrustSignPDF SDK 加载显示文件的，SDK内部处理显示的,Android 2.2.2,,,,
FALSE,,清云,张勇,2020/5/21,Android,逻辑错误,企业账号-签署文件，应设置无手写签名功能，直接选择企业签章放置签名,,最重要,验证通过,企业账号签署文件时还是有手写签名,,测试时间：2020.05.24 16:30,,,
FALSE,,少东,,2020/5/21,Android,功能优化,本地文件为空时，需有UI体现文件为空，否则会误以为文件未加载出，已通知UI修改文件列表为空的设计图，请替换,,一般,验证通过,,Android 2.2.2,"测试时间：2020.05.23 09:53
测试验证通过",,,
FALSE,,少东,谭作伍,2020/5/21,Android,逻辑错误,申请SIM盾时提示申请失败，但签署时又出现了SIM盾签署的选项，点击SIM盾签署无反应。逻辑错误，若未申请SIM盾或申请SIM盾失败，则点击签署直接走人脸识别+短信验证的流程，不必再提示选择认证方式。,,最重要,验证通过,"用户没有SIM盾 点击签署直接跳转到人脸识别+短信验证流程

测试验证注销SIM盾证书，未再次申请，还是会有选择认证方式（验证不通过BUG与第42个BUG一样）",Android 2.2.2,"测试时间：2020.05.24 15:12
测试验证已修复",,,
FALSE,,广榕,吴嘉佳,2020/5/21,iOS,功能缺失,发起签署，添加个人签署方界面/添加企业签署方界面，无法缩回隐藏输入键盘,,最重要,验证通过,,,"""测试时间：2020.05.22 10:14
测试验证已修复""",,,
FALSE,,广榕,林梓杰,2020/5/21,iOS,逻辑错误,个人信息-SIM盾申请，返回申请失败，但过一会又收到成功申请CF个人数字证书信息,测试号码：13618497158,最重要,验证通过,待重新打包,,"""测试时间：2020.05.22 11:53
测试验证已修复""",,,
FALSE,,广榕,,2020/5/21,iOS,逻辑错误,企业账号-个人信息，签章管理（无签章），下来刷新，APP闪退,测试号码：13618497158,最重要,验证通过,,,"""测试时间：2020.05.22 10:17
测试验证已修复""",,,
FALSE,,广榕,姜爱俊,2020/5/21,iOS,逻辑错误,企业账号无签章时，签署文件时，选择签章。APP闪退,,最重要,验证通过,已优化服务端返回为null时的情况，待重新打包,,"测试时间：2020.05.23 19:10
测试验证已修复",,,
TRUE,,少东,,2020/5/21,Android,逻辑错误,文件状态为待他人签，点击进入后文件底部仍显示选择签章、手写签名、签署按钮，但本人已经签署完成，不应该显示按钮,,最重要,未复现,尚未提测，提测后再测试,Android 2.2.2,,,,
TRUE,,少东,,2020/5/21,Android,逻辑错误,进入待他人签署的文件，点击详情，在详情界面显示用户本人的签署状态为待签，但用户已经完成签署，状态不正确,,最重要,未复现,尚未提测，提测后再测试,Android 2.2.2,,,,
FALSE,,清云,,2020/5/21,Android,兼容性问题,个人信息详情-本地文件，详情中点击更多弹出底部弹出框，点击使用其他应用打开，提示打开pdf失败,,一般,验证通过,,,,,,
FALSE,,广榕,,2020/5/21,iOS,功能缺失,没有实名认证，可进入文件内容详情界面，也可点击进行其他操作,,最重要,验证通过,,,"测试时间：2020.05.24 45:10
测试验证已修复",,,
FALSE,,少东,叶计成,2020/5/22,Android,逻辑错误,登录后进入加V电话-名片界面出现多个默认名片,,最重要,未复现,打新包以后已正常,Android2.2.3,,,,
FALSE,,广榕,张勇,2020/5/22,Android,逻辑错误,签署-人脸识别成功，短信验证码校验成功后，弹出签署成功弹窗，但下方又提示云证书签署失败,,最重要,验证通过,已删除Toast提示,,"测试时间：2020.05.23 19:13
测试验证已修复",,,
TRUE,,少东,王创彬,2020/5/22,Android,功能优化,签署文件时添加文件加载本地文件时加载速度较慢，用户需等待较长时间，需优化加载速度或在加载时提供进度条,,最重要,待修复,扫描的是这个内存卡，文件和目录多就会久，也没法提供进度条，下期优化,,,,,
TRUE,,少东,,2020/5/22,Android,逻辑错误,添加个人签署方时，输入完手机号提示 401 Unauthorized和SIM签Token过期，无法加载手机号码对应的实名认证姓名,,最重要,未复现,,,,,,
FALSE,,少东,林梓杰,2020/5/22,Android,界面优化,点击SIM签，每次进入SIM签总会先闪一下前往实名认证的界面才能加载出SIM签首页,,最重要,验证通过,,,"测试时间：2020.05.23 10:10
测试验证已修复",,,
,,少东,张勇,2020/5/22,Android,逻辑错误,进入待我签的文件，签署完成后出现”保存到本地“按钮，逻辑错误，文件状态为”已完成“状态的文件才出现保存到本地按钮,,最重要,验证通过,,,"测试时间：2020.05.23 19:17
测试验证已修复",,,
,,少东,莫南,2020/5/22,Android,逻辑错误,进入签章管理界面，未能生成正常的默认签章，而是生成了一串数字签章,,最重要,验证通过,"CFCA侧问题
CFCA已修复，待验证",,"测试时间：2020.05.23 19:22
测试验证已修复",,,
,,少东,,2020/5/22,Android,功能缺失,进入本地文件，进入文件详情，选择使用其他应用打开，提示打开PDF失败，PS：本机已经安装了PDF阅读器,,最重要,验证通过,,,"测试时间：2020.05.23 10:16
测试验证已修复",,,
,,少东,张勇,2020/5/22,Android,功能优化,已签署完成的文件，状态为“待他人签”，从最近文件列表点击进入，文件内容加载较慢，约5S后才能加载出文件，需优化加载速度，缩短等待时间,,一般,待修复,本地文件加载，不好进行优化,,,,,
,,广榕,,2020/5/22,Android,逻辑错误,没有开通SIM盾证书，文件签署时，选择认证方式弹窗-选择SIM盾，APP会重启,,最重要,验证通过,没有SIM盾证书 点击签署 会直接跳转到人脸识别,,"测试时间：2020.05.23 19:22
测试验证已修复",,,
,,少东,,2020/5/22,Android,功能缺失,在APP端发起签署，签署方也装有APP的情况下，签署方APP应当弹出系统通知，通知用户“您有一份新的文件待签署”，点击后唤起APP进入待签署文件页，此功能在Android、IOS端均需实现，现缺失,,最重要,待修复,,,,,,
,,广榕,谭作伍,2020/5/22,Android,逻辑错误,注销SIM盾证书，签署是还会有选择SIM盾,,最重要,验证通过,注销SIM盾证书，未再次申请，还是会有选择认证方式，截图弹窗里的SIM盾会重启APP,,"测试时间：2020.05.24 15:12
测试验证已修复",,,
,,广榕,谭作伍,2020/5/22,Android,功能优化,SIM盾签署，等待时间过长,,一般,待修复,签署时间长是因为在签署前必须要进行轮询接口操作 ,,,,,
,,清云,,2020/5/22,Android,功能优化,进入SIM签时，加载过程中显示前往实名认证页面,,一般,待修复,重复bug  见35,,,,,
,,广榕,,2020/5/23,Android,功能优化,签署人脸识别成功后，会停留在人脸识别界面2S，可点击再次打开摄像头；输入验证码后，可以多次点击确定按钮,,一般,验证不通过,签署人脸识别成功后，会停留在人脸识别界面2S，可点击再次打开摄像头测试不通过,,,,,
,,广榕,,2020/5/23,Android,功能优化,云证书签署失败，还会把印章盖上去,,一般,验证通过,多次点击短信验证码确认导致,,"测试时间：2020.05.24 15:24
测试验证已修复",,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
FALSE,,,,,,,,,,,,,,,,
